Time,Raw_dBFS,S21_dB,S21_Gaussian,S21_SavGol,Baseline,Diff_dB,Detect_Flag,Minima_Flag,OBJ,Height
0.518719,-75.3706,-77.1706,-77.1329,-77.1291,0,77.1291,0,0,MINE_TEST,1.25
0.546052,-75.4341,-77.2341,-77.1546,-77.1346,0,77.1346,0,0,MINE_TEST,1.25
0.572974,-75.5171,-77.3171,-77.1643,-77.139,0,77.139,0,0,MINE_TEST,1.25
0.598044,-75.1886,-76.9886,-77.161,-77.1429,0,77.1429,0,0,MINE_TEST,1.25
0.625045,-75.4876,-77.2876,-77.1518,-77.146,0,77.146,0,0,MINE_TEST,1.25
0.653651,-75.2096,-77.0096,-77.1444,-77.1475,0,77.1475,0,0,MINE_TEST,1.25
0.681542,-75.3491,-77.1491,-77.1412,-77.1464,0,77.1464,0,0,MINE_TEST,1.25
0.707306,-75.4431,-77.2431,-77.1397,-77.1426,0,77.1426,0,0,MINE_TEST,1.25
0.736515,-75.2443,-77.0443,-77.1374,-77.1375,0,77.1375,0,0,MINE_TEST,1.25
0.762825,-75.4174,-77.2174,-77.1346,-77.1329,0,77.1329,0,0,MINE_TEST,1.25
0.787266,-75.2083,-77.0083,-77.1329,-77.1302,0,77.1302,0,0,MINE_TEST,1.25
0.814781,-75.4274,-77.2274,-77.1307,-77.1298,0,77.1298,0,0,MINE_TEST,1.25
0.843233,-75.287,-77.087,-77.1244,-77.1314,0,77.1314,0,0,MINE_TEST,1.25
0.87244,-75.4719,-77.2719,-77.1141,-77.1343,0,77.1343,0,0,MINE_TEST,1.25
0.897716,-75.1321,-76.9321,-77.1073,-77.1373,0,77.1373,0,0,MINE_TEST,1.25
0.922518,-75.256,-77.056,-77.1145,-77.1394,0,77.1394,0,0,MINE_TEST,1.25
0.949934,-75.291,-77.091,-77.1373,-77.1397,0,77.1397,0,0,MINE_TEST,1.25
0.977491,-75.3819,-77.1819,-77.1635,-77.1383,0,77.1383,0,0,MINE_TEST,1.25
1.00583,-75.5953,-77.3953,-77.1758,-77.1358,0,77.1358,0,0,MINE_TEST,1.25
1.03095,-75.4407,-77.2407,-77.1677,-77.1328,0,77.1328,0,0,MINE_TEST,1.25
1.05552,-75.1587,-76.9587,-77.148,-77.1301,0,77.1301,0,0,MINE_TEST,1.25
1.08285,-75.2512,-77.0512,-77.1291,-77.128,0,77.128,0,0,MINE_TEST,1.25
1.11248,-75.5012,-77.3012,-77.1147,-77.1261,0,77.1261,0,0,MINE_TEST,1.25
1.14046,-75.2565,-77.0565,-77.1012,-77.1226,0,77.1226,0,0,MINE_TEST,1.25
1.16554,-75.2613,-77.0613,-77.0881,-77.1157,0,77.1157,0,0,MINE_TEST,1.25
1.19109,-75.246,-77.046,-77.0805,-77.1047,0,77.1047,0,0,MINE_TEST,1.25
1.22141,-75.2311,-77.0311,-77.0823,-77.0911,0,77.0911,0,0,MINE_TEST,1.25
1.25079,-75.316,-77.116,-77.0911,-77.0782,0,77.0782,0,0,MINE_TEST,1.25
1.2814,-75.3325,-77.1325,-77.0997,-77.0688,0,77.0688,0,0,MINE_TEST,1.25
1.3108,-75.2995,-77.0995,-77.1001,-77.0639,-77.1328,0.0689394,0,0,MINE_TEST,1.25
1.33592,-75.3814,-77.1814,-77.0878,-77.0628,-77.1328,0.0699962,0,0,MINE_TEST,1.25
1.36074,-75.2518,-77.0518,-77.0645,-77.0649,-77.1314,0.0664294,0,0,MINE_TEST,1.25
1.38565,-75.2354,-77.0354,-77.0388,-77.0702,-77.1314,0.061175,0,0,MINE_TEST,1.25
1.4123,-75.1675,-76.9675,-77.0235,-77.0778,-77.1302,0.0524321,0,0,MINE_TEST,1.25
1.43977,-75.092,-76.892,-77.0284,-77.0843,-77.1302,0.0458946,0,0,MINE_TEST,1.25
1.46744,-75.2383,-77.0383,-77.0533,-77.0837,-77.1301,0.0464498,0,0,MINE_TEST,1.25
1.4929,-75.3415,-77.1415,-77.0871,-77.0687,-77.1301,0.0613607,0,0,MINE_TEST,1.25
1.51847,-75.3868,-77.1868,-77.1155,-77.0355,-77.1298,0.0942276,0,0,MINE_TEST,1.25
1.54368,-75.374,-77.174,-77.1308,-76.9883,-77.1298,0.141465,0,0,MINE_TEST,1.25
1.57118,-75.3157,-77.1157,-77.1336,-76.9432,-77.1291,0.185854,0,0,MINE_TEST,1.25
1.59914,-75.271,-77.071,-77.1264,-76.9266,-77.1291,0.202538,0,0,MINE_TEST,1.25
1.62946,-75.3733,-77.1733,-77.1053,-76.9656,-77.128,0.162404,0,0,MINE_TEST,1.25
1.65613,-75.4461,-77.2461,-77.0648,-77.0775,-77.128,0.050577,0,0,MINE_TEST,1.25
1.68113,-75.2384,-77.0384,-77.013,-77.2607,-77.128,0.132659,0,0,MINE_TEST,1.25
1.70949,-75.0148,-76.8148,-76.9876,-77.4957,-77.1291,0.366609,0,0,MINE_TEST,1.25
1.73951,-74.9146,-76.7146,-77.0557,-77.7517,-77.1291,0.622646,0,0,MINE_TEST,1.25
1.76885,-75.0154,-76.8154,-77.2952,-77.9974,-77.1298,0.867684,0,0,MINE_TEST,1.25
1.79874,-74.9919,-76.7919,-77.7517,-78.2092,-77.1298,1.07943,0,0,MINE_TEST,1.25
1.82428,-76.2108,-78.0108,-78.3856,-78.374,-77.1301,1.24388,0,0,MINE_TEST,1.25
1.84961,-77.6811,-79.4811,-79.0481,-78.4872,-77.1301,1.35711,0,0,MINE_TEST,1.25
1.87894,-79.1066,-80.9066,-79.5266,-78.548,-77.1302,1.41781,0,0,MINE_TEST,1.25
