t,px,py,pz,vx,vy,vz,ax,ay,az
0,0.0127378,-0.0133902,1,0,0,0,1.36829,0.353599,-0.0311762
0.01,0.0128059,-0.0133726,0.999998,0.0135872,0.00351339,-0.000307653,1.34914,0.349079,-0.0303544
0.02,0.0130089,-0.0133201,0.999994,0.0269829,0.00698159,-0.000607088,1.32999,0.34456,-0.0295325
0.03,0.013345,-0.0132331,0.999986,0.0401871,0.0104046,-0.000898304,1.31084,0.34004,-0.0287107
0.04,0.0138121,-0.0131121,0.999976,0.0531998,0.0137824,-0.0011813,1.29169,0.33552,-0.0278888
0.05,0.0144083,-0.0129576,0.999963,0.066021,0.017115,-0.00145608,1.27254,0.331,-0.027067
0.06,0.0151318,-0.01277,0.999947,0.0786506,0.0204024,-0.00172264,1.25339,0.32648,-0.0262451
0.07,0.0159807,-0.0125497,0.999928,0.0910888,0.0236446,-0.00198098,1.23424,0.32196,-0.0254233
0.08,0.016953,-0.0122972,0.999907,0.103335,0.0268416,-0.00223111,1.21509,0.31744,-0.0246014
0.09,0.0180468,-0.012013,0.999884,0.115391,0.0299934,-0.00247301,1.19594,0.312921,-0.0237796
0.1,0.0192601,-0.0116975,0.999858,0.127254,0.0331,-0.0027067,1.17679,0.308401,-0.0229577
0.11,0.0205912,-0.0113512,0.99983,0.138927,0.0361614,-0.00293217,1.15764,0.303881,-0.0221359
0.12,0.022038,-0.0109744,0.999799,0.150407,0.0391776,-0.00314942,1.13849,0.299361,-0.021314
0.13,0.0235987,-0.0105678,0.999767,0.161696,0.0421486,-0.00335845,1.11934,0.294841,-0.0204922
0.14,0.0252713,-0.0101316,0.999732,0.172794,0.0450744,-0.00355926,1.10019,0.290321,-0.0196703
0.15,0.027054,-0.00966644,0.999695,0.1837,0.0479551,-0.00375185,1.08104,0.285802,-0.0188484
0.16,0.0289447,-0.00917267,0.999657,0.194415,0.0507905,-0.00393623,1.06189,0.281282,-0.0180266
0.17,0.0309416,-0.00865078,0.999617,0.204938,0.0535807,-0.00411238,1.04274,0.276762,-0.0172047
0.18,0.0330428,-0.00810121,0.999575,0.21527,0.0563257,-0.00428032,1.02359,0.272242,-0.0163829
0.19,0.0352464,-0.00752441,0.999531,0.22541,0.0590255,-0.00444004,1.00444,0.267722,-0.015561
0.2,0.0375504,-0.00692085,0.999486,0.235358,0.0616802,-0.00459154,0.985288,0.263202,-0.0147392
0.21,0.0399529,-0.00629096,0.999439,0.245115,0.0642896,-0.00473483,0.966138,0.258682,-0.0139173
0.22,0.042452,-0.00563521,0.999391,0.254681,0.0668538,-0.00486989,0.946988,0.254163,-0.0130955
0.23,0.0450459,-0.00495404,0.999342,0.264055,0.0693728,-0.00499674,0.927838,0.249643,-0.0122736
0.24,0.0477325,-0.0042479,0.999291,0.273238,0.0718467,-0.00511536,0.908687,0.245123,-0.0114518
0.25,0.05051,-0.00351725,0.99924,0.282229,0.0742753,-0.00522577,0.889537,0.240603,-0.0106299
0.26,0.0533764,-0.00276255,0.999187,0.291029,0.0766587,-0.00532796,0.870387,0.236083,-0.00980806
0.27,0.0563299,-0.00198423,0.999133,0.299637,0.078997,-0.00542193,0.851236,0.231563,-0.00898621
0.28,0.0593685,-0.00118276,0.999079,0.308053,0.08129,-0.00550768,0.832086,0.227043,-0.00816436
0.29,0.0624904,-0.000358582,0.999023,0.316278,0.0835378,-0.00558522,0.812936,0.222524,-0.0073425
0.3,0.0656935,0.000487847,0.998967,0.324312,0.0857405,-0.00565453,0.793785,0.218004,-0.00652065
0.31,0.068976,0.00135608,0.99891,0.332154,0.0878979,-0.00571563,0.774635,0.213484,-0.0056988
0.32,0.0723359,0.00224565,0.998853,0.339805,0.0900101,-0.00576851,0.755485,0.208964,-0.00487694
0.33,0.0757714,0.00315613,0.998795,0.347264,0.0920772,-0.00581317,0.736334,0.204444,-0.00405509
0.34,0.0792806,0.00408705,0.998736,0.354531,0.094099,-0.00584961,0.717184,0.199924,-0.00323324
0.35,0.0828614,0.00503796,0.998678,0.361608,0.0960757,-0.00587784,0.698034,0.195405,-0.00241138
0.36,0.0865121,0.00600841,0.998619,0.368492,0.0980071,-0.00589784,0.678883,0.190885,-0.00158953
0.37,0.0902306,0.00699795,0.99856,0.375185,0.0998934,-0.00590963,0.659733,0.186365,-0.000767678
0.38,0.0940151,0.00800613,0.998501,0.381687,0.101734,-0.00591319,0.640583,0.181845,5.41748e-05
0.39,0.0978637,0.00903249,0.998442,0.387997,0.10353,-0.00590854,0.621432,0.177325,0.000876028
0.4,0.101774,0.0100766,0.998383,0.394115,0.105281,-0.00589567,0.602282,0.172805,0.00169788
0.41,0.105745,0.011138,0.998324,0.400042,0.106986,-0.00587459,0.583132,0.168285,0.00251973
