x,y,z
0.0127058,-0.013323,-0.0119944
0.0125231,-0.0131054,-0.0120021
0.0122284,-0.0127882,-0.0120031
0.0117003,-0.0122374,-0.0120018
0.0106378,-0.0111436,-0.0120061
0.00887186,-0.0093385,-0.012021
0.0068347,-0.0072257,-0.0120261
0.00501247,-0.00530432,-0.0120422
0.00353321,-0.00373743,-0.0120613
0.0023417,-0.00248319,-0.0120907
0.00145519,-0.0015617,-0.0121055
0.000874868,-0.000973519,-0.012125
0.000540134,-0.000659364,-0.0121345
0.000379747,-0.000490657,-0.0119465
0.000687315,-0.000290813,0.0165251
0.00213019,0.000309243,0.101836
0.00407383,0.00151781,0.247421
0.00514267,0.00308401,0.452907
0.00450286,0.00465508,0.681588
0.0021911,0.00587649,0.87191
-0.00128851,0.00668719,0.995991
-0.00458095,0.00765004,1.04795
0.00593197,0.0017969,1.05218
0.0575572,-0.0255377,1.04281
0.163415,-0.0809629,1.0345
0.313125,-0.159765,1.03148
0.48109,-0.249374,1.0336
0.639605,-0.337001,1.03892
0.769177,-0.41326,1.04536
0.863341,-0.474601,1.05143
0.9286,-0.523309,1.05632
0.979339,-0.567063,1.05988
1.03169,-0.611697,1.0622
1.09821,-0.660833,1.06384
1.18428,-0.715648,1.0643
1.28854,-0.775735,1.06384
1.4036,-0.837619,1.06301
1.52111,-0.898781,1.06221
1.6332,-0.959314,1.06164
1.73116,-1.01872,1.0613
1.81148,-1.07651,1.06099
1.8773,-1.13109,1.06075
1.93623,-1.182,1.06058
1.99755,-1.22983,1.06046
2.06779,-1.27473,1.06039
2.14843,-1.31555,1.06041
2.23744,-1.35478,1.06056
2.32748,-1.39509,1.06079
2.40442,-1.43505,1.06105
2.47421,-1.47748,1.06142
2.55653,-1.52854,1.06245
2.65542,-1.58478,1.06313
2.76205,-1.64257,1.06344
2.86308,-1.69937,1.06373
2.94992,-1.75441,1.06407
3.0212,-1.81026,1.06423
3.08169,-1.86723,1.06425
3.13865,-1.92591,1.06424
3.19989,-1.98543,1.0643
3.26876,-2.04007,1.06439
3.35049,-2.08999,1.06454
3.44443,-2.13323,1.0647
3.54812,-2.17032,1.06489
3.65947,-2.20447,1.06507
3.77675,-2.23841,1.06525
3.89453,-2.27369,1.06546
4.0095,-2.31104,1.06569
4.12158,-2.35213,1.06585
4.23172,-2.39646,1.06598
4.34255,-2.44387,1.06603
4.45755,-2.49386,1.06611
4.57276,-2.5424,1.06623
4.69037,-2.58873,1.06635
4.80832,-2.63169,1.06645
4.92666,-2.67355,1.06653
5.04688,-2.71808,1.06659
5.17082,-2.7674,1.06665
5.2979,-2.82131,1.06676
5.42443,-2.87543,1.06701
5.54602,-2.92389,1.06731
5.66158,-2.95929,1.06753
5.77062,-2.9793,1.06765
5.87737,-2.98977,1.06763
5.98246,-2.9974,1.06754
6.0911,-3.00777,1.0675
6.20285,-3.02062,1.0675
6.31719,-3.03203,1.06758
6.43156,-3.041,1.06775
6.54341,-3.05054,1.06794
6.64921,-3.06741,1.0681
6.74772,-3.10083,1.0682
6.83702,-3.15479,1.06829
6.91778,-3.22495,1.06835
6.9973,-3.30317,1.06835
7.08618,-3.38463,1.06826
7.18395,-3.46516,1.0683
7.28833,-3.54649,1.06848
7.38943,-3.62597,1.06871
7.4805,-3.70034,1.06924
7.55974,-3.76958,1.07007
7.62972,-3.83504,1.07083
7.6968,-3.8976,1.07138
7.76754,-3.95819,1.07176
7.84609,-4.01781,1.07196
7.932,-4.07446,1.07158
8.02208,-4.12792,1.0709
8.11512,-4.17997,1.07025
8.2058,-4.23107,1.06978
8.29425,-4.28489,1.0695
8.37838,-4.34383,1.06937
8.4549,-4.40751,1.0693
8.52307,-4.4752,1.06925
8.58459,-4.54721,1.06918
8.64191,-4.62332,1.06911
8.69621,-4.70309,1.06908
8.7487,-4.78916,1.06903
8.7991,-4.88164,1.06904
8.84545,-4.97766,1.06909
8.88422,-5.0743,1.06921
8.91462,-5.16944,1.06933
8.93644,-5.26339,1.06943
8.95064,-5.35712,1.06948
8.96027,-5.45294,1.06945
8.96873,-5.55096,1.06938
8.97823,-5.64986,1.06986
8.98842,-5.74933,1.07063
8.99797,-5.85041,1.07141
9.00614,-5.95338,1.07205
9.01241,-6.05879,1.07257
9.01649,-6.16482,1.07293
9.01986,-6.26655,1.07268
9.02479,-6.3632,1.072
9.03393,-6.45242,1.07129
9.04983,-6.5388,1.07073
9.07531,-6.62359,1.0703
9.11386,-6.71114,1.07004
9.16628,-6.79894,1.06991
9.23166,-6.88192,1.06984
9.30889,-6.95308,1.06987
9.39788,-7.00964,1.06991
9.49679,-7.05137,1.06991
9.60258,-7.08128,1.06985
9.71171,-7.1039,1.06982
9.82036,-7.12249,1.06986
9.92483,-7.13868,1.06996
10.0243,-7.15271,1.07004
10.1175,-7.16392,1.07061
10.2016,-7.17128,1.07144
10.2677,-7.17215,1.07226
10.2999,-7.16331,1.07283
