
==============================
REPLAN_ID,1
==============================
t,x,y,z,vx,vy,vz,ax,ay,az
0,-1.5259,-4.64764,-0.00676622,-0.0026892,0.0210101,-0.00300262,0.864647,0.956589,0.0790185
0.01,-1.52589,-4.64738,-0.00679229,0.00590382,0.0305102,-0.002212,0.853957,0.943427,0.0791049
0.02,-1.52579,-4.64703,-0.00681045,0.0143899,0.0398786,-0.00142052,0.843266,0.930265,0.0791914
0.03,-1.5256,-4.64659,-0.0068207,0.0227691,0.0491155,-0.000628171,0.832576,0.917103,0.0792779
0.04,-1.52533,-4.64605,-0.00682301,0.0310414,0.0582207,0.00016504,0.821885,0.903941,0.0793643
0.05,-1.52498,-4.64542,-0.00681739,0.0392068,0.0671943,0.000959115,0.811195,0.890779,0.0794508
0.06,-1.52455,-4.64471,-0.00680383,0.0472653,0.0760363,0.00175406,0.800505,0.877617,0.0795372
0.07,-1.52403,-4.6439,-0.00678231,0.0552169,0.0847466,0.00254986,0.789814,0.864455,0.0796237
0.08,-1.52344,-4.64301,-0.00675283,0.0630616,0.0933254,0.00334653,0.779124,0.851294,0.0797102
0.09,-1.52277,-4.64204,-0.00671538,0.0707994,0.101773,0.00414406,0.768434,0.838132,0.0797966
0.1,-1.52203,-4.64098,-0.00666995,0.0784303,0.110088,0.00494246,0.757743,0.82497,0.0798831
0.11,-1.5212,-4.63984,-0.00661652,0.0859543,0.118272,0.00574173,0.747053,0.811808,0.0799696
0.12,-1.52031,-4.63861,-0.00655511,0.0933714,0.126324,0.00654185,0.736363,0.798646,0.080056
0.13,-1.51934,-4.63731,-0.00648568,0.100682,0.134245,0.00734285,0.725672,0.785484,0.0801425
0.14,-1.51829,-4.63593,-0.00640825,0.107885,0.142034,0.0081447,0.714982,0.772322,0.080229
0.15,-1.51718,-4.63447,-0.00632279,0.114981,0.149691,0.00894742,0.704291,0.75916,0.0803154
0.16,-1.516,-4.63293,-0.0062293,0.121971,0.157217,0.00975101,0.693601,0.745998,0.0804019
0.17,-1.51474,-4.63133,-0.00612776,0.128853,0.164611,0.0105555,0.682911,0.732836,0.0804883
0.18,-1.51342,-4.62964,-0.00601818,0.135629,0.171874,0.0113608,0.67222,0.719674,0.0805748
0.19,-1.51203,-4.62789,-0.00590055,0.142298,0.179005,0.012167,0.66153,0.706512,0.0806613
0.2,-1.51057,-4.62606,-0.00577484,0.148859,0.186004,0.012974,0.65084,0.69335,0.0807477
0.21,-1.50905,-4.62417,-0.00564106,0.155314,0.192872,0.0137819,0.640149,0.680188,0.0808342
0.22,-1.50747,-4.62221,-0.0054992,0.161662,0.199608,0.0145907,0.629459,0.667026,0.0809207
0.23,-1.50582,-4.62018,-0.00534925,0.167904,0.206212,0.0154003,0.618768,0.653864,0.0810071
0.24,-1.50411,-4.61808,-0.00519119,0.174038,0.212685,0.0162108,0.608078,0.640702,0.0810936
0.25,-1.50234,-4.61592,-0.00502503,0.180065,0.219026,0.0170222,0.597388,0.627541,0.08118
0.26,-1.50051,-4.6137,-0.00485074,0.185986,0.225236,0.0178344,0.586697,0.614379,0.0812665
0.27,-1.49862,-4.61142,-0.00466834,0.191799,0.231314,0.0186475,0.576007,0.601217,0.081353
0.28,-1.49667,-4.60908,-0.00447779,0.197506,0.23726,0.0194615,0.565317,0.588055,0.0814394
0.29,-1.49467,-4.60667,-0.0042791,0.203105,0.243075,0.0202763,0.554626,0.574893,0.0815259
0.3,-1.49261,-4.60422,-0.00407226,0.208598,0.248758,0.021092,0.543936,0.561731,0.0816124
0.31,-1.4905,-4.6017,-0.00385726,0.213984,0.25431,0.0219086,0.533246,0.548569,0.0816988
0.32,-1.48833,-4.59913,-0.00363409,0.219263,0.259729,0.022726,0.522555,0.535407,0.0817853
0.33,-1.48611,-4.59651,-0.00340274,0.224435,0.265018,0.0235443,0.511865,0.522245,0.0818718
0.34,-1.48384,-4.59383,-0.0031632,0.2295,0.270174,0.0243634,0.501174,0.509083,0.0819582
0.35,-1.48152,-4.5911,-0.00291547,0.234459,0.275199,0.0251834,0.490484,0.495921,0.0820447
0.36,-1.47915,-4.58833,-0.00265953,0.23931,0.280093,0.0260043,0.479794,0.482759,0.0821311
0.37,-1.47674,-4.5855,-0.00239538,0.244055,0.284855,0.0268261,0.469103,0.469597,0.0822176
0.38,-1.47427,-4.58263,-0.002123,0.248692,0.289485,0.0276487,0.458413,0.456435,0.0823041
0.39,-1.47176,-4.57971,-0.0018424,0.253223,0.293983,0.0284721,0.447723,0.443273,0.0823905
0.4,-1.46921,-4.57675,-0.00155356,0.257647,0.29835,0.0292965,0.437032,0.430111,0.082477
0.41,-1.46661,-4.57375,-0.00125647,0.261963,0.302585,0.0301217,0.426342,0.416949,0.0825635
0.42,-1.46397,-4.5707,-0.000951122,0.266173,0.306689,0.0309477,0.415651,0.403787,0.0826499
0.43,-1.46129,-4.56761,-0.000637511,0.270277,0.310661,0.0317747,0.404961,0.390626,0.0827364
0.44,-1.45857,-4.56449,-0.000315626,0.274273,0.314502,0.0326025,0.394271,0.377464,0.0828228
0.45,-1.4558,-4.56132,1.45415e-05,0.278162,0.31821,0.0334311,0.38358,0.364302,0.0829093
0.46,-1.453,-4.55812,0.000353,0.281944,0.321788,0.0342607,0.37289,0.35114,0.0829958
0.47,-1.45016,-4.55489,0.000699758,0.28562,0.325233,0.035091,0.3622,0.337978,0.0830822
0.48,-1.44729,-4.55162,0.00105482,0.289188,0.328547,0.0359223,0.351509,0.324816,0.0831687
0.49,-1.44571,-4.54982,0.00125203,0.29109,0.3303,0.0363761,0.345677,0.317636,0.0832159
0.5,-1.44278,-4.5465,0.00161993,0.294513,0.333439,0.0372018,0.338925,0.310198,0.0819212
0.51,-1.43982,-4.54315,0.00199602,0.297868,0.336504,0.0380146,0.332173,0.30276,0.0806266
0.52,-1.43682,-4.53977,0.00238018,0.301156,0.339494,0.0388144,0.32542,0.295322,0.079332
0.53,-1.4338,-4.53636,0.00277227,0.304377,0.34241,0.0396012,0.318668,0.287885,0.0780373
0.54,-1.43074,-4.53292,0.00317216,0.30753,0.345252,0.0403751,0.311916,0.280447,0.0767427
0.55,-1.42764,-4.52946,0.00357973,0.310615,0.348019,0.0411361,0.305164,0.273009,0.0754481
0.56,-1.42452,-4.52596,0.00399484,0.313633,0.350712,0.0418841,0.298411,0.265572,0.0741534
0.57,-1.42137,-4.52244,0.00441737,0.316583,0.35333,0.0426191,0.291659,0.258134,0.0728588
0.58,-1.41819,-4.5189,0.00484718,0.319466,0.355875,0.0433412,0.284907,0.250696,0.0715641
0.59,-1.41498,-4.51533,0.00528415,0.322282,0.358344,0.0440504,0.278154,0.243259,0.0702695
0.6,-1.41175,-4.51173,0.00572814,0.325029,0.36074,0.0447466,0.271402,0.235821,0.0689749
0.61,-1.40848,-4.50811,0.00617904,0.32771,0.363061,0.0454299,0.26465,0.228383,0.0676802
0.62,-1.40519,-4.50447,0.0066367,0.330322,0.365307,0.0461002,0.257898,0.220945,0.0663856
0.63,-1.40188,-4.50081,0.007101,0.332868,0.36748,0.0467576,0.251145,0.213508,0.065091
0.64,-1.39854,-4.49712,0.00757181,0.335345,0.369578,0.0474021,0.244393,0.20607,0.0637963
0.65,-1.39517,-4.49342,0.008049,0.337755,0.371601,0.0480336,0.237641,0.198632,0.0625017
0.66,-1.39178,-4.48969,0.00853244,0.340098,0.37355,0.0486521,0.230888,0.191195,0.0612071
0.67,-1.38837,-4.48594,0.009022,0.342373,0.375425,0.0492577,0.224136,0.183757,0.0599124
0.68,-1.38493,-4.48218,0.00951755,0.344581,0.377225,0.0498503,0.217384,0.176319,0.0586178
0.69,-1.38148,-4.4784,0.010019,0.346721,0.378951,0.0504301,0.210631,0.168882,0.0573232
0.7,-1.378,-4.4746,0.0105261,0.348793,0.380603,0.0509968,0.203879,0.161444,0.0560285
0.71,-1.3745,-4.47079,0.0110389,0.350798,0.38218,0.0515506,0.197127,0.154006,0.0547339
0.72,-1.37098,-4.46696,0.0115571,0.352736,0.383683,0.0520915,0.190375,0.146568,0.0534392
0.73,-1.36745,-4.46312,0.0120806,0.354606,0.385112,0.0526194,0.183622,0.139131,0.0521446
0.74,-1.36389,-4.45926,0.0126094,0.356408,0.386466,0.0531344,0.17687,0.131693,0.05085
0.75,-1.36032,-4.45539,0.0131433,0.358143,0.387745,0.0536364,0.170118,0.124255,0.0495553
0.76,-1.35673,-4.4515,0.0136821,0.359811,0.388951,0.0541255,0.163365,0.116818,0.0482607
0.77,-1.35312,-4.44761,0.0142258,0.361411,0.390082,0.0546016,0.156613,0.10938,0.0469661
0.78,-1.3495,-4.4437,0.0147741,0.362943,0.391138,0.0550648,0.149861,0.101942,0.0456714
0.79,-1.34586,-4.43978,0.015327,0.364408,0.392121,0.055515,0.143109,0.0945046,0.0443768
0.8,-1.34221,-4.43586,0.0158844,0.365805,0.393029,0.0559523,0.136356,0.0870669,0.0430822
0.81,-1.33855,-4.43192,0.016446,0.367135,0.393862,0.0563767,0.129604,0.0796292,0.0417875
0.82,-1.33487,-4.42798,0.0170118,0.368397,0.394621,0.0567881,0.122852,0.0721915,0.0404929
0.83,-1.33118,-4.42403,0.0175817,0.369592,0.395306,0.0571866,0.116099,0.0647538,0.0391983
0.84,-1.32748,-4.42008,0.0181555,0.370719,0.395916,0.0575721,0.109347,0.0573161,0.0379036
0.85,-1.32377,-4.41611,0.0187331,0.371779,0.396452,0.0579446,0.102595,0.0498784,0.036609
0.86,-1.32004,-4.41215,0.0193144,0.372771,0.396914,0.0583042,0.0958426,0.0424407,0.0353143
0.87,-1.31631,-4.40818,0.0198992,0.373696,0.397301,0.0586509,0.0890903,0.035003,0.0340197
0.88,-1.31257,-4.4042,0.0204874,0.374553,0.397614,0.0589846,0.082338,0.0275653,0.0327251
0.89,-1.30882,-4.40022,0.0210788,0.375343,0.397852,0.0593054,0.0755857,0.0201276,0.0314304
0.9,-1.30506,-4.39624,0.0216734,0.376065,0.398016,0.0596132,0.0688334,0.0126899,0.0301358
0.91,-1.3013,-4.39226,0.022271,0.376719,0.398106,0.0599081,0.0620811,0.00525222,0.0288412
0.92,-1.29753,-4.38828,0.0228715,0.377306,0.398121,0.0601901,0.0553288,-0.00218547,0.0275465
0.93,-1.29375,-4.3843,0.0234748,0.377826,0.398062,0.0604591,0.0485765,-0.00962317,0.0262519
0.94,-1.28997,-4.38032,0.0240807,0.378278,0.397929,0.0607151,0.0418243,-0.0170609,0.0249573
0.95,-1.28619,-4.37634,0.0246891,0.378662,0.397721,0.0609582,0.035072,-0.0244986,0.0236626
0.96,-1.28493,-4.37502,0.0248921,0.378775,0.397635,0.0610363,0.0328242,-0.0269745,0.0232317
0.97,-1.28114,-4.37104,0.0255036,0.379102,0.397368,0.061269,0.0325758,-0.0264499,0.0233147
0.98,-1.27735,-4.36707,0.0261175,0.379427,0.397106,0.0615026,0.0323274,-0.0259253,0.0233978
0.99,-1.27355,-4.3631,0.0267337,0.379749,0.39685,0.0617369,0.032079,-0.0254007,0.0234809
1,-1.26975,-4.35914,0.0273522,0.380068,0.396598,0.0619722,0.0318306,-0.0248761,0.023564
1.01,-1.26595,-4.35517,0.0279731,0.380385,0.396352,0.0622082,0.0315822,-0.0243514,0.0236471
1.02,-1.26214,-4.35121,0.0285964,0.3807,0.396111,0.0624451,0.0313337,-0.0238268,0.0237302
1.03,-1.25833,-4.34725,0.029222,0.381012,0.395876,0.0626828,0.0310853,-0.0233022,0.0238133
1.04,-1.25452,-4.34329,0.0298501,0.381322,0.395645,0.0629214,0.0308369,-0.0227776,0.0238964
1.05,-1.25071,-4.33934,0.0304805,0.381629,0.39542,0.0631608,0.0305885,-0.022253,0.0239795
1.06,-1.24689,-4.33538,0.0311133,0.381934,0.3952,0.063401,0.0303401,-0.0217284,0.0240625
1.07,-1.24307,-4.33143,0.0317485,0.382236,0.394986,0.063642,0.0300917,-0.0212037,0.0241456
1.08,-1.23925,-4.32748,0.0323861,0.382535,0.394776,0.0638839,0.0298433,-0.0206791,0.0242287
1.09,-1.23542,-4.32354,0.0330262,0.382833,0.394572,0.0641266,0.0295949,-0.0201545,0.0243118
1.1,-1.23159,-4.31959,0.0336687,0.383127,0.394373,0.0643701,0.0293465,-0.0196299,0.0243949
1.11,-1.22776,-4.31565,0.0343136,0.38342,0.39418,0.0646145,0.0290981,-0.0191053,0.024478
1.12,-1.22392,-4.31171,0.0349609,0.383709,0.393991,0.0648597,0.0288497,-0.0185807,0.0245611
1.13,-1.22008,-4.30777,0.0356108,0.383996,0.393808,0.0651057,0.0286013,-0.018056,0.0246442
1.14,-1.21624,-4.30383,0.0362631,0.384281,0.39363,0.0653526,0.0283529,-0.0175314,0.0247273
1.15,-1.2124,-4.2999,0.0369178,0.384564,0.393457,0.0656002,0.0281045,-0.0170068,0.0248103
1.16,-1.20855,-4.29596,0.0375751,0.384843,0.39329,0.0658488,0.0278561,-0.0164822,0.0248934
