x,y,z
0.010379,-0.0110884,-0.012218
0.0100166,-0.0106827,-0.0122302
0.00984441,-0.0104719,-0.0122461
0.00975957,-0.0103665,-0.0122694
0.0095457,-0.0101421,-0.0122967
0.00896747,-0.00953248,-0.0123156
0.00528241,-0.00564561,-0.0123681
0.00378847,-0.00406046,-0.0123838
0.00259494,-0.00277395,-0.0124051
0.00172629,-0.00180591,-0.0124299
0.00108763,-0.00108524,-0.0124578
0.000650207,-0.00059838,-0.0124749
0.000400759,-0.000339164,-0.0124871
0.000306568,-0.000263498,-0.012497
0.000592399,-0.000207408,0.00900736
0.00202399,0.000210368,0.0857159
0.00414912,0.00117665,0.222192
0.00569152,0.00242218,0.419962
0.00543311,0.00375211,0.649083
0.00326624,0.00490149,0.847546
-0.000149485,0.00572399,0.982794
-0.00344223,0.00681039,1.04614
0.00291212,0.00867523,1.05677
0.0345863,0.0133394,1.0494
0.0987946,0.0242748,1.04076
0.190582,0.0439758,1.03649
0.298251,0.0729271,1.0368
0.40956,0.107909,1.04054
0.509104,0.142667,1.04587
0.581498,0.167657,1.05147
0.625231,0.178014,1.0565
0.663111,0.172903,1.06039
0.715554,0.156776,1.06306
0.791083,0.138304,1.06514
0.888278,0.125126,1.06642
0.996313,0.121166,1.06706
1.10003,0.125843,1.06731
1.18829,0.136609,1.06735
1.25897,0.149492,1.06719
1.3155,0.160485,1.06691
1.36347,0.16686,1.06701
1.40971,0.169475,1.06738
1.45983,0.170268,1.06779
1.51511,0.172322,1.06808
1.57528,0.176678,1.06836
1.63855,0.183889,1.06859
1.70217,0.19393,1.0688
1.76297,0.206505,1.06894
1.81923,0.220457,1.06909
1.87195,0.235364,1.06918
1.92175,0.251173,1.06924
1.96915,0.267102,1.06932
2.01596,0.282403,1.0694
2.06432,0.29752,1.06946
2.1142,0.314149,1.06953
2.16381,0.331794,1.0696
2.21275,0.349762,1.06972
2.26235,0.369207,1.06985
2.31208,0.390474,1.06999
2.35919,0.412351,1.07007
2.40426,0.434076,1.07019
2.45994,0.465272,1.07068
2.53332,0.511129,1.07147
2.61899,0.567886,1.07234
2.70432,0.627033,1.0731
2.7844,0.686639,1.0736
2.85796,0.747683,1.07394
2.92787,0.807801,1.07408
2.99846,0.86241,1.07409
3.0716,0.908056,1.07349
3.14687,0.941719,1.07266
3.22379,0.963581,1.07199
3.30063,0.974488,1.07147
3.37423,0.977258,1.07112
3.44352,0.976334,1.07093
3.51019,0.974014,1.07073
3.57648,0.971404,1.07065
3.64122,0.968935,1.07065
3.7038,0.964978,1.07071
3.76564,0.957729,1.07082
3.82639,0.945167,1.0715
3.88549,0.927432,1.07239
3.94375,0.905772,1.07315
4.00113,0.882125,1.07371
4.05638,0.858127,1.07415
4.10838,0.836385,1.07444
4.15853,0.817321,1.07462
4.20856,0.800462,1.07471
4.25861,0.786257,1.07424
4.30855,0.774754,1.07341
4.36059,0.765049,1.07257
4.41559,0.75553,1.07196
4.47284,0.745167,1.07157
4.53215,0.733412,1.07137
4.59332,0.719985,1.07127
4.65573,0.705735,1.07128
4.71775,0.69196,1.07133
4.78039,0.679769,1.07129
4.84281,0.670985,1.07131
