
==============================
REPLAN_ID,1
==============================
t,x,y,z,vx,vy,vz,ax,ay,az
0,20.2325,0.981757,1.08091,-0.0160648,0.021154,-0.000676874,-1.13675,0.0155193,-0.413866
0.01,20.2322,0.981969,1.08088,-0.0273256,0.0213059,-0.00477715,-1.11542,0.014869,-0.406189
0.02,20.2319,0.982183,1.08081,-0.0383731,0.0214514,-0.00880065,-1.09409,0.0142187,-0.398512
0.03,20.2315,0.982398,1.08071,-0.0492074,0.0215903,-0.0127474,-1.07276,0.0135683,-0.390834
0.04,20.2309,0.982614,1.08056,-0.0598283,0.0217227,-0.0166173,-1.05143,0.012918,-0.383157
0.05,20.2303,0.982832,1.08037,-0.0702359,0.0218487,-0.0204105,-1.03009,0.0122677,-0.375479
0.06,20.2295,0.983051,1.08015,-0.0804301,0.0219681,-0.0241269,-1.00876,0.0116174,-0.367802
0.07,20.2287,0.983272,1.07989,-0.0904111,0.022081,-0.0277666,-0.987433,0.010967,-0.360125
0.08,20.2277,0.983493,1.0796,-0.100179,0.0221874,-0.0313294,-0.966102,0.0103167,-0.352447
0.09,20.2267,0.983715,1.07927,-0.109733,0.0222873,-0.0348155,-0.944771,0.0096664,-0.34477
0.1,20.2255,0.983939,1.0789,-0.119074,0.0223808,-0.0382248,-0.923441,0.00901608,-0.337093
0.11,20.2243,0.984163,1.0785,-0.128202,0.0224677,-0.0415574,-0.90211,0.00836575,-0.329415
0.12,20.223,0.984388,1.07807,-0.137116,0.0225481,-0.0448131,-0.880779,0.00771543,-0.321738
0.13,20.2215,0.984614,1.07761,-0.145818,0.022622,-0.0479921,-0.859448,0.00706511,-0.314061
0.14,20.22,0.98484,1.07711,-0.154305,0.0226894,-0.0510943,-0.838118,0.00641478,-0.306383
0.15,20.2185,0.985068,1.07658,-0.16258,0.0227503,-0.0541198,-0.816787,0.00576446,-0.298706
0.16,20.2168,0.985295,1.07603,-0.170641,0.0228047,-0.0570685,-0.795456,0.00511414,-0.291028
0.17,20.215,0.985524,1.07544,-0.178489,0.0228525,-0.0599404,-0.774125,0.00446381,-0.283351
0.18,20.2132,0.985752,1.07483,-0.186124,0.0228939,-0.0627355,-0.752795,0.00381349,-0.275674
0.19,20.2113,0.985982,1.07419,-0.193545,0.0229288,-0.0654538,-0.731464,0.00316316,-0.267996
0.2,20.2094,0.986211,1.07352,-0.200753,0.0229572,-0.0680954,-0.710133,0.00251284,-0.260319
0.21,20.2073,0.986441,1.07283,-0.207748,0.0229791,-0.0706602,-0.688802,0.00186252,-0.252642
0.22,20.2052,0.986671,1.07211,-0.214529,0.0229944,-0.0731482,-0.667472,0.00121219,-0.244964
0.23,20.203,0.986901,1.07136,-0.221097,0.0230033,-0.0755595,-0.646141,0.00056187,-0.237287
0.24,20.2008,0.987131,1.0706,-0.227452,0.0230057,-0.077894,-0.62481,-8.84535e-05,-0.22961
0.25,20.1985,0.987361,1.06981,-0.233593,0.0230015,-0.0801517,-0.603479,-0.000738777,-0.221932
0.26,20.1961,0.987591,1.06899,-0.239521,0.0229909,-0.0823326,-0.582149,-0.0013891,-0.214255
0.27,20.1937,0.98782,1.06816,-0.245236,0.0229738,-0.0844368,-0.560818,-0.00203942,-0.206577
0.28,20.1912,0.98805,1.06731,-0.250738,0.0229501,-0.0864642,-0.539487,-0.00268975,-0.1989
0.29,20.1887,0.988279,1.06643,-0.256026,0.02292,-0.0884148,-0.518156,-0.00334007,-0.191223
0.3,20.1861,0.988508,1.06554,-0.261101,0.0228833,-0.0902886,-0.496826,-0.0039904,-0.183545
0.31,20.1834,0.988737,1.06463,-0.265962,0.0228402,-0.0920857,-0.475495,-0.00464072,-0.175868
0.32,20.1808,0.988965,1.0637,-0.270611,0.0227905,-0.093806,-0.454164,-0.00529104,-0.168191
0.33,20.178,0.989193,1.06275,-0.275046,0.0227343,-0.0954495,-0.432833,-0.00594137,-0.160513
0.34,20.1753,0.98942,1.06179,-0.279267,0.0226717,-0.0970163,-0.411503,-0.00659169,-0.152836
0.35,20.1725,0.989646,1.06081,-0.283276,0.0226025,-0.0985062,-0.390172,-0.00724201,-0.145159
0.36,20.1696,0.989872,1.05982,-0.287071,0.0225268,-0.0999194,-0.368841,-0.00789234,-0.137481
0.37,20.1667,0.990097,1.05881,-0.290653,0.0224447,-0.101256,-0.34751,-0.00854266,-0.129804
0.38,20.1638,0.990321,1.05779,-0.294021,0.022356,-0.102516,-0.32618,-0.00919298,-0.122127
0.39,20.1608,0.990544,1.05676,-0.297176,0.0222608,-0.103698,-0.304849,-0.00984331,-0.114449
0.4,20.1578,0.990766,1.05572,-0.300118,0.0221591,-0.104804,-0.283518,-0.0104936,-0.106772
0.41,20.1548,0.990987,1.05467,-0.302847,0.0220509,-0.105834,-0.262187,-0.011144,-0.0990944
0.42,20.1518,0.991207,1.0536,-0.305362,0.0219362,-0.106786,-0.240857,-0.0117943,-0.0914171
0.43,20.1487,0.991426,1.05253,-0.307664,0.021815,-0.107662,-0.219526,-0.0124446,-0.0837397
0.44,20.1456,0.991643,1.05145,-0.309752,0.0216873,-0.108461,-0.198195,-0.0130949,-0.0760623
0.45,20.1425,0.991859,1.05036,-0.311628,0.0215531,-0.109183,-0.176864,-0.0137452,-0.068385
0.46,20.1394,0.992074,1.04927,-0.31329,0.0214124,-0.109829,-0.155534,-0.0143956,-0.0607076
0.47,20.1363,0.992288,1.04817,-0.314738,0.0212652,-0.110398,-0.134203,-0.0150459,-0.0530302
0.48,20.1331,0.9925,1.04706,-0.315974,0.0211115,-0.110889,-0.112872,-0.0156962,-0.0453529
0.49,20.1299,0.99271,1.04595,-0.316996,0.0209513,-0.111305,-0.0915413,-0.0163465,-0.0376755
0.5,20.1268,0.992919,1.04483,-0.317804,0.0207846,-0.111643,-0.0702106,-0.0169969,-0.0299982
0.51,20.1236,0.993126,1.04372,-0.3184,0.0206114,-0.111905,-0.0488798,-0.0176472,-0.0223208
0.52,20.1204,0.993331,1.0426,-0.318782,0.0204317,-0.112089,-0.0275491,-0.0182975,-0.0146434
0.53,20.1172,0.993534,1.04147,-0.318951,0.0202454,-0.112197,-0.00621832,-0.0189478,-0.00696607
0.54,20.114,0.993736,1.04035,-0.318906,0.0200527,-0.112229,0.0151124,-0.0195982,0.000711293
0.55,20.1108,0.993935,1.03923,-0.318649,0.0198535,-0.112183,0.0364432,-0.0202485,0.00838866
0.56,20.1077,0.994133,1.03811,-0.318178,0.0196477,-0.112061,0.0577739,-0.0208988,0.016066
0.57,20.1045,0.994328,1.03699,-0.317493,0.0194355,-0.111862,0.0791047,-0.0215491,0.0237434
0.58,20.1013,0.994521,1.03587,-0.316595,0.0192167,-0.111586,0.100435,-0.0221995,0.0314207
0.59,20.0981,0.994712,1.03476,-0.315484,0.0189915,-0.111233,0.121766,-0.0228498,0.0390981
0.6,20.095,0.994901,1.03365,-0.31416,0.0187597,-0.110804,0.143097,-0.0235001,0.0467755
0.61,20.0919,0.995088,1.03254,-0.312623,0.0185215,-0.110298,0.164428,-0.0241504,0.0544528
0.62,20.0887,0.995272,1.03144,-0.310872,0.0182767,-0.109715,0.185758,-0.0248008,0.0621302
0.63,20.0856,0.995453,1.03035,-0.308907,0.0180255,-0.109055,0.207089,-0.0254511,0.0698076
0.64,20.0826,0.995632,1.02926,-0.30673,0.0177677,-0.108319,0.22842,-0.0261014,0.0774849
0.65,20.0795,0.995808,1.02818,-0.304339,0.0175034,-0.107506,0.249751,-0.0267517,0.0851623
0.66,20.0765,0.995982,1.02711,-0.301735,0.0172327,-0.106616,0.271081,-0.027402,0.0928396
0.67,20.0735,0.996153,1.02605,-0.298917,0.0169554,-0.105649,0.292412,-0.0280524,0.100517
0.68,20.0705,0.996321,1.025,-0.295887,0.0166716,-0.104605,0.313743,-0.0287027,0.108194
0.69,20.0676,0.996487,1.02396,-0.292642,0.0163814,-0.103485,0.335074,-0.029353,0.115872
0.7,20.0647,0.996649,1.02293,-0.289185,0.0160846,-0.102288,0.356404,-0.0300033,0.123549
0.71,20.0618,0.996808,1.02191,-0.285514,0.0157813,-0.101014,0.377735,-0.0306537,0.131226
0.72,20.0589,0.996964,1.02091,-0.28163,0.0154715,-0.0996634,0.399066,-0.031304,0.138904
0.73,20.0561,0.997118,1.01992,-0.277533,0.0151552,-0.0982359,0.420397,-0.0319543,0.146581
0.74,20.0534,0.997268,1.01894,-0.273222,0.0148324,-0.0967317,0.441727,-0.0326046,0.154259
0.75,20.0507,0.997414,1.01798,-0.268698,0.0145031,-0.0951508,0.463058,-0.033255,0.161936
0.76,20.048,0.997558,1.01704,-0.263961,0.0141673,-0.093493,0.484389,-0.0339053,0.169613
0.77,20.0454,0.997698,1.01611,-0.259011,0.013825,-0.0917585,0.50572,-0.0345556,0.177291
0.78,20.0428,0.997834,1.01521,-0.253847,0.0134762,-0.0899472,0.52705,-0.0352059,0.184968
0.79,20.0403,0.997967,1.01432,-0.24847,0.0131209,-0.0880591,0.548381,-0.0358563,0.192645
0.8,20.0379,0.998096,1.01344,-0.242879,0.0127591,-0.0860943,0.569712,-0.0365066,0.200323
0.81,20.0355,0.998222,1.01259,-0.237075,0.0123908,-0.0840527,0.591043,-0.0371569,0.208
0.82,20.0331,0.998344,1.01176,-0.231058,0.0120159,-0.0819343,0.612373,-0.0378072,0.215677
0.83,20.0308,0.998462,1.01096,-0.224828,0.0116346,-0.0797391,0.633704,-0.0384575,0.223355
0.84,20.0286,0.998577,1.01017,-0.218384,0.0112468,-0.0774672,0.655035,-0.0391079,0.231032
0.85,20.0265,0.998687,1.00941,-0.211727,0.0108525,-0.0751185,0.676366,-0.0397582,0.23871
0.86,20.0244,0.998794,1.00867,-0.204857,0.0104516,-0.072693,0.697696,-0.0404085,0.246387
0.87,20.0224,0.998896,1.00795,-0.197773,0.0100443,-0.0701908,0.719027,-0.0410588,0.254064
0.88,20.0204,0.998995,1.00726,-0.190476,0.00963045,-0.0676117,0.740358,-0.0417092,0.261742
0.89,20.0186,0.999089,1.0066,-0.182966,0.0092101,-0.0649559,0.761689,-0.0423595,0.269419
0.9,20.0168,0.999179,1.00597,-0.175243,0.00878326,-0.0622233,0.783019,-0.0430098,0.277096
0.91,20.0151,0.999265,1.00536,-0.167306,0.00834991,-0.059414,0.80435,-0.0436601,0.284774
0.92,20.0134,0.999346,1.00478,-0.159156,0.00791006,-0.0565279,0.825681,-0.0443105,0.292451
0.93,20.0119,0.999423,1.00423,-0.150792,0.0074637,-0.053565,0.847012,-0.0449608,0.300128
0.94,20.0104,0.999495,1.00371,-0.142215,0.00701084,-0.0505253,0.868342,-0.0456111,0.307806
0.95,20.009,0.999563,1.00322,-0.133425,0.00655148,-0.0474089,0.889673,-0.0462614,0.315483
0.96,20.0078,0.999626,1.00276,-0.124422,0.00608561,-0.0442156,0.911004,-0.0469118,0.323161
0.97,20.0066,0.999685,1.00233,-0.115205,0.00561324,-0.0409456,0.932335,-0.0475621,0.330838
0.98,20.0055,0.999738,1.00194,-0.105775,0.00513437,-0.0375989,0.953665,-0.0482124,0.338515
0.99,20.0044,0.999787,1.00158,-0.096132,0.00464899,-0.0341753,0.974996,-0.0488627,0.346193
1,20.0035,0.999831,1.00126,-0.0862754,0.00415711,-0.030675,0.996327,-0.0495131,0.35387
1.01,20.0027,0.999871,1.00097,-0.0762054,0.00365873,-0.0270979,1.01766,-0.0501634,0.361547
1.02,20.002,0.999905,1.00071,-0.0659222,0.00315385,-0.0234441,1.03899,-0.0508137,0.369225
1.03,20.0014,0.999934,1.0005,-0.0554257,0.00264246,-0.0197134,1.06032,-0.051464,0.376902
1.04,20.0009,0.999957,1.00032,-0.0447158,0.00212457,-0.015906,1.08165,-0.0521143,0.384579
1.05,20.0005,0.999976,1.00018,-0.0337927,0.00160017,-0.0120219,1.10298,-0.0527647,0.392257
1.06,20.0002,0.999989,1.00008,-0.0226562,0.00106927,-0.00806091,1.12431,-0.053415,0.399934
1.07,20.0001,0.999997,1.00002,-0.0113065,0.000531872,-0.00402318,1.14564,-0.0540653,0.407611

==============================
REPLAN_ID,1
==============================
t,x,y,z,vx,vy,vz,ax,ay,az
0,0.010379,-0.0110884,-0.012218,0.0137202,-0.0146364,-0.000233367,0.900567,0.252938,0.0438837
0.01,0.0105611,-0.0112221,-0.0122181,0.0226848,-0.0121096,0.000204306,0.892355,0.252409,0.0436508
0.02,0.0108324,-0.0113306,-0.0122139,0.0315673,-0.00958819,0.000639649,0.884144,0.251879,0.0434178
0.03,0.0111922,-0.0114139,-0.0122053,0.0403677,-0.00707205,0.00107266,0.875932,0.251349,0.0431849
0.04,0.0116395,-0.011472,-0.0121924,0.049086,-0.0045612,0.00150335,0.867721,0.25082,0.0429519
0.05,0.0121736,-0.0115051,-0.0121752,0.0577221,-0.00205565,0.0019317,0.859509,0.25029,0.042719
0.06,0.0127937,-0.0115132,-0.0121538,0.0662761,0.000444603,0.00235773,0.851298,0.24976,0.042486
0.07,0.0134989,-0.0114962,-0.0121281,0.0747481,0.00293956,0.00278142,0.843086,0.249231,0.0422531
0.08,0.0142884,-0.0114544,-0.0120982,0.0831379,0.00542922,0.00320279,0.834875,0.248701,0.0420201
0.09,0.0151614,-0.0113877,-0.0120641,0.0914456,0.00791358,0.00362182,0.826663,0.248171,0.0417872
0.1,0.016117,-0.0112961,-0.0120258,0.0996711,0.0103926,0.00403853,0.818452,0.247642,0.0415542
0.11,0.0171545,-0.0111798,-0.0119833,0.107815,0.0128664,0.00445291,0.810241,0.247112,0.0413213
0.12,0.018273,-0.0110388,-0.0119367,0.115876,0.0153349,0.00486496,0.802029,0.246583,0.0410883
0.13,0.0194717,-0.0108732,-0.011886,0.123855,0.0177981,0.00527467,0.793818,0.246053,0.0408554
0.14,0.0207499,-0.0106829,-0.0118312,0.131752,0.020256,0.00568206,0.785606,0.245523,0.0406224
0.15,0.0221065,-0.0104681,-0.0117724,0.139567,0.0227085,0.00608712,0.777395,0.244994,0.0403895
0.16,0.0235409,-0.0102287,-0.0117095,0.1473,0.0251558,0.00648985,0.769183,0.244464,0.0401565
0.17,0.0250522,-0.00996496,-0.0116426,0.154951,0.0275978,0.00689025,0.760972,0.243934,0.0399236
0.18,0.0266397,-0.0096768,-0.0115717,0.16252,0.0300345,0.00728833,0.75276,0.243405,0.0396906
0.19,0.0283024,-0.00936429,-0.0114968,0.170006,0.0324659,0.00768407,0.744549,0.242875,0.0394577
0.2,0.0300395,-0.0090275,-0.011418,0.177411,0.034892,0.00807748,0.736337,0.242345,0.0392247
0.21,0.0318503,-0.00866647,-0.0113353,0.184733,0.0373128,0.00846856,0.728126,0.241816,0.0389918
0.22,0.0337339,-0.00828126,-0.0112486,0.191973,0.0397283,0.00885731,0.719914,0.241286,0.0387588
0.23,0.0356895,-0.00787192,-0.0111581,0.199131,0.0421385,0.00924374,0.711703,0.240756,0.0385259
0.24,0.0377163,-0.00743851,-0.0110638,0.206207,0.0445434,0.00962783,0.703491,0.240227,0.0382929
0.25,0.0398134,-0.00698107,-0.0109656,0.213201,0.0469431,0.0100096,0.69528,0.239697,0.03806
0.26,0.04198,-0.00649966,-0.0108636,0.220113,0.0493374,0.010389,0.687068,0.239167,0.037827
0.27,0.0442153,-0.00599434,-0.0107578,0.226942,0.0517264,0.0107661,0.678857,0.238638,0.0375941
0.28,0.0465186,-0.00546515,-0.0106483,0.23369,0.0541101,0.0111409,0.670646,0.238108,0.0373611
0.29,0.0488889,-0.00491215,-0.010535,0.240355,0.0564886,0.0115134,0.662434,0.237578,0.0371282
0.3,0.0513254,-0.0043354,-0.010418,0.246939,0.0588617,0.0118835,0.654223,0.237049,0.0368952
0.31,0.0538274,-0.00373494,-0.0102973,0.25344,0.0612295,0.0122513,0.646011,0.236519,0.0366623
0.32,0.0563939,-0.00311082,-0.010173,0.259859,0.0635921,0.0126167,0.6378,0.235989,0.0364293
0.33,0.0590243,-0.00246311,-0.010045,0.266196,0.0659493,0.0129799,0.629588,0.23546,0.0361964
0.34,0.0617176,-0.00179186,-0.00991341,0.272451,0.0683013,0.0133407,0.621377,0.23493,0.0359634
0.35,0.064473,-0.00109711,-0.00977821,0.278623,0.0706479,0.0136991,0.613165,0.2344,0.0357305
0.36,0.0672898,-0.000378915,-0.00963944,0.284714,0.0729893,0.0140553,0.604954,0.233871,0.0354975
0.37,0.070167,0.000362663,-0.00949712,0.290722,0.0753253,0.0144091,0.596742,0.233341,0.0352646
0.38,0.0731039,0.00112757,-0.00935127,0.296649,0.0776561,0.0147606,0.588531,0.232811,0.0350316
0.39,0.0760997,0.00191577,-0.00920191,0.302493,0.0799816,0.0151097,0.580319,0.232282,0.0347987
0.4,0.0791535,0.00272719,-0.00904908,0.308255,0.0823017,0.0154565,0.572108,0.231752,0.0345657
0.41,0.0822645,0.00356178,-0.00889279,0.313935,0.0846166,0.015801,0.563896,0.231222,0.0343328
0.42,0.085432,0.0044195,-0.00873307,0.319533,0.0869262,0.0161432,0.555685,0.230693,0.0340998
0.43,0.0886549,0.00530029,-0.00856993,0.325049,0.0892305,0.016483,0.547474,0.230163,0.0338669
0.44,0.0919327,0.00620409,-0.00840341,0.330483,0.0915294,0.0168205,0.539262,0.229633,0.0336339
0.45,0.0952643,0.00713086,-0.00823353,0.335834,0.0938231,0.0171557,0.531051,0.229104,0.033401
0.46,0.0986491,0.00808054,-0.00806031,0.341104,0.0961115,0.0174885,0.522839,0.228574,0.033168
0.47,0.102086,0.00905307,-0.00788377,0.346291,0.0983946,0.0178191,0.514628,0.228044,0.0329351
0.48,0.105575,0.0100484,-0.00770393,0.351396,0.100672,0.0181472,0.506416,0.227515,0.0327021
0.49,0.109114,0.0110665,-0.00752083,0.356419,0.102945,0.0184731,0.498205,0.226985,0.0324692
0.5,0.112703,0.0121073,-0.00733448,0.36136,0.105212,0.0187966,0.489993,0.226455,0.0322362
0.51,0.116341,0.0131707,-0.00714491,0.366219,0.107474,0.0191178,0.481782,0.225926,0.0320033
0.52,0.120027,0.0142568,-0.00695213,0.370996,0.109731,0.0194367,0.47357,0.225396,0.0317703
0.53,0.120789,0.0144824,-0.00691218,0.371966,0.110193,0.0195018,0.471885,0.225287,0.0317225
0.54,0.124532,0.0155955,-0.00671556,0.376637,0.112427,0.0198246,0.462336,0.221467,0.0328328
0.55,0.128322,0.0167308,-0.00651565,0.381213,0.114622,0.0201585,0.452787,0.217647,0.033943
0.56,0.132156,0.0178879,-0.00631235,0.385693,0.11678,0.0205035,0.443237,0.213826,0.0350532
0.57,0.136035,0.0190663,-0.00610554,0.390077,0.118899,0.0208596,0.433688,0.210006,0.0361635
0.58,0.139957,0.0202657,-0.00589512,0.394367,0.12098,0.0212267,0.424139,0.206185,0.0372737
0.59,0.143922,0.0214858,-0.00568097,0.39856,0.123023,0.021605,0.414589,0.202365,0.038384
0.6,0.147928,0.022726,-0.00546298,0.402658,0.125027,0.0219944,0.40504,0.198544,0.0394942
0.61,0.151975,0.0239862,-0.00524104,0.406661,0.126994,0.0223949,0.395491,0.194724,0.0406044
0.62,0.156061,0.0252658,-0.00501505,0.410568,0.128922,0.0228065,0.385941,0.190903,0.0417147
0.63,0.160186,0.0265645,-0.00478488,0.41438,0.130812,0.0232292,0.376392,0.187083,0.0428249
0.64,0.164348,0.0278819,-0.00455043,0.418096,0.132663,0.023663,0.366843,0.183262,0.0439351
0.65,0.168548,0.0292176,-0.00431158,0.421717,0.134477,0.0241079,0.357293,0.179442,0.0450454
0.66,0.172782,0.0305713,-0.00406823,0.425242,0.136252,0.0245639,0.347744,0.175622,0.0461556
0.67,0.177052,0.0319425,-0.00382027,0.428672,0.137989,0.025031,0.338195,0.171801,0.0472659
0.68,0.181356,0.033331,-0.00356757,0.432006,0.139688,0.0255092,0.328645,0.167981,0.0483761
0.69,0.185692,0.0347362,-0.00331004,0.435244,0.141349,0.0259985,0.319096,0.16416,0.0494863
0.7,0.19006,0.0361578,-0.00304757,0.438388,0.142971,0.026499,0.309547,0.16034,0.0505966
0.71,0.194459,0.0375955,-0.00278003,0.441435,0.144556,0.0270105,0.299997,0.156519,0.0517068
0.72,0.198889,0.0390488,-0.00250732,0.444388,0.146102,0.0275331,0.290448,0.152699,0.052817
0.73,0.203347,0.0405174,-0.00222933,0.447244,0.14761,0.0280668,0.280899,0.148878,0.0539273
0.74,0.207833,0.0420009,-0.00194595,0.450006,0.149079,0.0286116,0.271349,0.145058,0.0550375
0.75,0.212347,0.0434988,-0.00165706,0.452671,0.150511,0.0291676,0.2618,0.141237,0.0561478
0.76,0.216886,0.0450109,-0.00136256,0.455242,0.151904,0.0297346,0.252251,0.137417,0.057258
0.77,0.221451,0.0465368,-0.00106233,0.457716,0.153259,0.0303127,0.242701,0.133596,0.0583682
0.78,0.22604,0.048076,-0.000756265,0.460096,0.154576,0.030902,0.233152,0.129776,0.0594785
0.79,0.230653,0.0496282,-0.000444253,0.462379,0.155855,0.0315023,0.223603,0.125956,0.0605887
0.8,0.235288,0.051193,-0.000126182,0.464568,0.157095,0.0321137,0.214053,0.122135,0.0616989
0.81,0.239944,0.05277,0.000198059,0.46666,0.158297,0.0327363,0.204504,0.118315,0.0628092
0.82,0.24462,0.0543588,0.00052858,0.468658,0.159461,0.0333699,0.194955,0.114494,0.0639194
0.83,0.249317,0.0559591,0.000865494,0.47056,0.160587,0.0340147,0.185405,0.110674,0.0650297
0.84,0.254031,0.0575704,0.00120891,0.472366,0.161675,0.0346705,0.175856,0.106853,0.0661399
0.85,0.258764,0.0591924,0.00155894,0.474077,0.162724,0.0353375,0.166307,0.103033,0.0672501
0.86,0.263512,0.0608248,0.0019157,0.475692,0.163736,0.0360155,0.156757,0.0992123,0.0683604
0.87,0.268277,0.062467,0.00227929,0.477212,0.164709,0.0367047,0.147208,0.0953918,0.0694706
0.88,0.273056,0.0641188,0.00264983,0.478636,0.165643,0.0374049,0.137659,0.0915714,0.0705808
0.89,0.277849,0.0657798,0.00302742,0.479965,0.16654,0.0381163,0.128109,0.0877509,0.0716911
0.9,0.282655,0.0674495,0.00341219,0.481198,0.167398,0.0388388,0.11856,0.0839305,0.0728013
0.91,0.287473,0.0691276,0.00380424,0.482336,0.168219,0.0395723,0.109011,0.08011,0.0739115
0.92,0.292302,0.0708137,0.00420367,0.483379,0.169001,0.040317,0.0994615,0.0762895,0.0750218
0.93,0.29714,0.0725075,0.00461061,0.484325,0.169744,0.0410728,0.0899122,0.0724691,0.076132
0.94,0.301988,0.0742085,0.00502517,0.485177,0.17045,0.0418396,0.0803629,0.0686486,0.0772423
0.95,0.306844,0.0759164,0.00544744,0.485933,0.171117,0.0426176,0.0708135,0.0648282,0.0783525
0.96,0.311706,0.0776307,0.00587755,0.486593,0.171747,0.0434067,0.0612642,0.0610077,0.0794627
0.97,0.316575,0.0793512,0.00631561,0.487158,0.172338,0.0442069,0.0517149,0.0571873,0.080573
0.98,0.321449,0.0810773,0.00676173,0.487627,0.17289,0.0450181,0.0421656,0.0533668,0.0816832
0.99,0.326327,0.0828088,0.00721601,0.488001,0.173405,0.0458405,0.0326162,0.0495463,0.0827934
1,0.331209,0.0845453,0.00767858,0.48828,0.173881,0.046674,0.0230669,0.0457259,0.0839037
1.01,0.336093,0.0862863,0.00814953,0.488463,0.174319,0.0475186,0.0135176,0.0419054,0.0850139
1.02,0.339636,0.0875517,0.00849641,0.488536,0.174613,0.0481381,0.00659171,0.0391345,0.0858191
1.03,0.344521,0.0892998,0.00898207,0.488604,0.175004,0.048991,0.00710782,0.0389617,0.0847647
1.04,0.349408,0.0910518,0.0094762,0.488678,0.175392,0.0498334,0.00762394,0.0387888,0.0837103
1.05,0.354295,0.0928076,0.0099787,0.488756,0.17578,0.0506652,0.00814006,0.038616,0.0826558
1.06,0.359183,0.0945674,0.0104895,0.48884,0.176165,0.0514865,0.00865618,0.0384431,0.0816014
1.07,0.364072,0.0963309,0.0110084,0.48893,0.176548,0.0522972,0.0091723,0.0382703,0.080547
1.08,0.368962,0.0980983,0.0115354,0.489024,0.17693,0.0530974,0.00968842,0.0380974,0.0794925
1.09,0.373852,0.0998695,0.0120703,0.489123,0.17731,0.0538871,0.0102045,0.0379246,0.0784381
1.1,0.378744,0.101645,0.0126131,0.489228,0.177689,0.0546662,0.0107207,0.0377517,0.0773836
1.11,0.383637,0.103423,0.0131636,0.489338,0.178065,0.0554348,0.0112368,0.0375788,0.0763292
1.12,0.388531,0.105206,0.0137217,0.489453,0.17844,0.0561928,0.0117529,0.037406,0.0752748
1.13,0.393426,0.106992,0.0142874,0.489573,0.178813,0.0569403,0.012269,0.0372331,0.0742203
1.14,0.398322,0.108782,0.0148605,0.489698,0.179185,0.0576772,0.0127851,0.0370603,0.0731659
1.15,0.40322,0.110576,0.0154409,0.489829,0.179555,0.0584036,0.0133013,0.0368874,0.0721114
1.16,0.408119,0.112373,0.0160285,0.489964,0.179923,0.0591194,0.0138174,0.0367146,0.071057
1.17,0.413019,0.114174,0.0166233,0.490105,0.180289,0.0598247,0.0143335,0.0365417,0.0700026
1.18,0.417921,0.115979,0.017225,0.490251,0.180654,0.0605195,0.0148496,0.0363689,0.0689481
1.19,0.422824,0.117787,0.0178336,0.490402,0.181016,0.0612037,0.0153657,0.036196,0.0678937
1.2,0.427729,0.119599,0.018449,0.490558,0.181377,0.0618773,0.0158819,0.0360232,0.0668392
1.21,0.432635,0.121415,0.0190711,0.49072,0.181737,0.0625405,0.016398,0.0358503,0.0657848
1.22,0.437543,0.123234,0.0196998,0.490886,0.182094,0.063193,0.0169141,0.0356774,0.0647304
1.23,0.442453,0.125057,0.020335,0.491058,0.18245,0.0638351,0.0174302,0.0355046,0.0636759
1.24,0.447365,0.126883,0.0209765,0.491235,0.182805,0.0644666,0.0179463,0.0353317,0.0626215
1.25,0.452278,0.128713,0.0216243,0.491417,0.183157,0.0650875,0.0184625,0.0351589,0.061567
1.26,0.457193,0.130546,0.0222782,0.491604,0.183508,0.0656979,0.0189786,0.034986,0.0605126
1.27,0.46211,0.132383,0.0229382,0.491796,0.183857,0.0662978,0.0194947,0.0348132,0.0594582
